  -0.04  -0.04  -0.04   1.00  -0.04   0.00  -0.04  -1.00  -0.04  -0.04  -0.04  -0.04
  -0.08  -0.08   0.75   1.00  -0.08   0.00  -0.08  -1.00  -0.08  -0.08  -0.08  -0.08
  -0.12   0.55   0.83   1.00  -0.12   0.00   0.45  -1.00  -0.12  -0.12  -0.12  -0.12
   0.37   0.73   0.89   1.00  -0.16   0.00   0.57  -1.00  -0.16  -0.16   0.30  -0.16
   0.57   0.82   0.91   1.00   0.23   0.00   0.63  -1.00  -0.20   0.17   0.38   0.08
   0.69   0.85   0.91   1.00   0.46   0.00   0.65  -1.00   0.14   0.30   0.49   0.17
   0.75   0.86   0.92   1.00   0.61   0.00   0.66  -1.00   0.37   0.41   0.52   0.27
   0.78   0.86   0.92   1.00   0.68   0.00   0.66  -1.00   0.52   0.46   0.55   0.31
   0.80   0.87   0.92   1.00   0.72   0.00   0.66  -1.00   0.61   0.49   0.56   0.33
   0.81   0.87   0.92   1.00   0.74   0.00   0.66  -1.00   0.65   0.54   0.57   0.34
   0.81   0.87   0.92   1.00   0.75   0.00   0.66  -1.00   0.67   0.59   0.58   0.35
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.69   0.62   0.58   0.36
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.70   0.63   0.59   0.36
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.70   0.64   0.59   0.36
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.70   0.65   0.60   0.37
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.70   0.65   0.61   0.38
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.70   0.65   0.61   0.38
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.71   0.65   0.61   0.39
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.71   0.65   0.61   0.39
   0.81   0.87   0.92   1.00   0.76   0.00   0.66  -1.00   0.71   0.66   0.61   0.39
